policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
adaptive_triage,0,air_conditioner,0.8,22,22,3,0,0.88,1.0,0.9361702127659575
adaptive_triage,1,car_horn,1.1,20,20,2,0,0.9090909090909091,1.0,0.9523809523809523
adaptive_triage,2,children_playing,0.7,23,23,1,0,0.9583333333333334,1.0,0.9787234042553191
adaptive_triage,3,dog_bark,1.0,21,21,1,0,0.9545454545454546,1.0,0.9767441860465117
adaptive_triage,4,drilling,0.9,13,13,3,0,0.8125,1.0,0.896551724137931
adaptive_triage,5,engine_idling,0.7,15,11,2,4,0.8461538461538461,0.7333333333333333,0.7857142857142856
adaptive_triage,6,gun_shot,1.8,19,15,1,4,0.9375,0.7894736842105263,0.8571428571428572
adaptive_triage,7,jackhammer,1.0,20,16,1,4,0.9411764705882353,0.8,0.8648648648648648
adaptive_triage,8,siren,1.7,21,18,2,3,0.9,0.8571428571428571,0.8780487804878048
adaptive_triage,9,street_music,0.6,26,21,4,5,0.84,0.8076923076923077,0.8235294117647058
