policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
always_cloud,0,air_conditioner,0.8,22,22,5,0,0.8148148148148148,1.0,0.8979591836734693
always_cloud,1,car_horn,1.1,20,20,2,0,0.9090909090909091,1.0,0.9523809523809523
always_cloud,2,children_playing,0.7,23,23,4,0,0.8518518518518519,1.0,0.92
always_cloud,3,dog_bark,1.0,21,21,2,0,0.9130434782608695,1.0,0.9545454545454545
always_cloud,4,drilling,0.9,13,13,6,0,0.6842105263157895,1.0,0.8125000000000001
always_cloud,5,engine_idling,0.7,15,9,0,6,1.0,0.6,0.7499999999999999
always_cloud,6,gun_shot,1.8,19,17,3,2,0.85,0.8947368421052632,0.8717948717948718
always_cloud,7,jackhammer,1.0,20,14,4,6,0.7777777777777778,0.7,0.7368421052631577
always_cloud,8,siren,1.7,21,14,4,7,0.7777777777777778,0.6666666666666666,0.717948717948718
always_cloud,9,street_music,0.6,26,16,1,10,0.9411764705882353,0.6153846153846154,0.744186046511628
