policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_threshold,0,air_conditioner,0.8,22,22,3,0,0.88,1.0,0.9361702127659575
fixed_threshold,1,car_horn,1.1,20,20,5,0,0.8,1.0,0.888888888888889
fixed_threshold,2,children_playing,0.7,23,23,2,0,0.92,1.0,0.9583333333333334
fixed_threshold,3,dog_bark,1.0,21,21,2,0,0.9130434782608695,1.0,0.9545454545454545
fixed_threshold,4,drilling,0.9,13,13,1,0,0.9285714285714286,1.0,0.962962962962963
fixed_threshold,5,engine_idling,0.7,15,13,3,2,0.8125,0.8666666666666667,0.8387096774193549
fixed_threshold,6,gun_shot,1.8,19,13,2,6,0.8666666666666667,0.6842105263157895,0.7647058823529413
fixed_threshold,7,jackhammer,1.0,20,13,1,7,0.9285714285714286,0.65,0.7647058823529412
fixed_threshold,8,siren,1.7,21,14,2,7,0.875,0.6666666666666666,0.7567567567567567
fixed_threshold,9,street_music,0.6,26,22,5,4,0.8148148148148148,0.8461538461538461,0.830188679245283
