policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_triage,0,air_conditioner,0.8,22,22,4,0,0.8461538461538461,1.0,0.9166666666666666
fixed_triage,1,car_horn,1.1,20,20,5,0,0.8,1.0,0.888888888888889
fixed_triage,2,children_playing,0.7,23,23,2,0,0.92,1.0,0.9583333333333334
fixed_triage,3,dog_bark,1.0,21,21,4,0,0.84,1.0,0.9130434782608696
fixed_triage,4,drilling,0.9,13,13,0,0,1.0,1.0,1.0
fixed_triage,5,engine_idling,0.7,15,12,3,3,0.8,0.8,0.8000000000000002
fixed_triage,6,gun_shot,1.8,19,12,2,7,0.8571428571428571,0.631578947368421,0.7272727272727273
fixed_triage,7,jackhammer,1.0,20,16,1,4,0.9411764705882353,0.8,0.8648648648648648
fixed_triage,8,siren,1.7,21,17,6,4,0.7391304347826086,0.8095238095238095,0.7727272727272727
fixed_triage,9,street_music,0.6,26,14,3,12,0.8235294117647058,0.5384615384615384,0.6511627906976744
