true_label,edge_pred,final_pred,confidence,top2_margin,route,threshold_used,raw_threshold_used,transmitted_bytes,used_cloud,priority_weight,false_positive_cost,embedding_l2,embedding_dim
dog_bark,dog_bark,dog_bark,0.5826486,0.4540643,raw_audio,0.55,0.55,128000,True,1.0,0.9,2.4667122,128
engine_idling,dog_bark,engine_idling,0.31060818,0.1627366,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.9225782,128
street_music,dog_bark,children_playing,0.22533788,0.10856629,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.383929,128
children_playing,children_playing,children_playing,0.60804194,0.45473891,raw_audio,0.55,0.55,128000,True,0.7,0.6,2.7950234,128
gun_shot,dog_bark,gun_shot,0.28356552,0.1521616,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.7102519,128
dog_bark,dog_bark,dog_bark,0.57214564,0.43905064,raw_audio,0.55,0.55,128000,True,1.0,0.9,2.4537199,128
jackhammer,dog_bark,children_playing,0.2646103,0.13620867,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.5348893,128
street_music,dog_bark,street_music,0.22687878,0.10699889,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.3913683,128
jackhammer,dog_bark,jackhammer,0.26375395,0.13290702,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.53054,128
drilling,drilling,drilling,0.29181877,0.015531123,raw_audio,0.55,0.55,128000,True,0.9,0.8,2.268473,128
street_music,dog_bark,street_music,0.22343293,0.10530956,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.3794197,128
gun_shot,dog_bark,gun_shot,0.28645936,0.15648861,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.7118223,128
drilling,drilling,drilling,0.29620108,0.023244947,raw_audio,0.55,0.55,128000,True,0.9,0.8,2.2859123,128
engine_idling,dog_bark,engine_idling,0.31143528,0.16214769,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.9220256,128
children_playing,children_playing,children_playing,0.6132723,0.4622149,raw_audio,0.55,0.55,128000,True,0.7,0.6,2.8040876,128
car_horn,car_horn,car_horn,0.975223,0.965504,raw_audio,0.55,0.55,128000,True,1.1,1.1,3.416752,128
engine_idling,dog_bark,engine_idling,0.30723974,0.1510501,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.938237,128
dog_bark,dog_bark,dog_bark,0.5768038,0.44982117,raw_audio,0.55,0.55,128000,True,1.0,0.9,2.446994,128
siren,dog_bark,siren,0.22970292,0.10684539,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.4264599,128
siren,dog_bark,siren,0.22897999,0.10691744,raw_audio,0.55,0.55,128000,True,1.0,0.9,1.4231026,128
