policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
adaptive_triage,0,air_conditioner,0.8,100,82,6,18,0.9318181818181818,0.82,0.8723404255319149
adaptive_triage,1,car_horn,1.1,33,27,12,6,0.6923076923076923,0.8181818181818182,0.7500000000000001
adaptive_triage,2,children_playing,0.7,100,71,13,29,0.8452380952380952,0.71,0.7717391304347825
adaptive_triage,3,dog_bark,1.0,100,87,20,13,0.8130841121495327,0.87,0.8405797101449274
adaptive_triage,4,drilling,0.9,100,91,15,9,0.8584905660377359,0.91,0.883495145631068
adaptive_triage,5,engine_idling,0.7,93,86,16,7,0.8431372549019608,0.9247311827956989,0.882051282051282
adaptive_triage,6,gun_shot,1.8,32,31,24,1,0.5636363636363636,0.96875,0.7126436781609196
adaptive_triage,7,jackhammer,1.0,96,73,10,23,0.8795180722891566,0.7604166666666666,0.8156424581005586
adaptive_triage,8,siren,1.7,83,65,17,18,0.7926829268292683,0.7831325301204819,0.7878787878787878
adaptive_triage,9,street_music,0.6,100,85,6,15,0.9340659340659341,0.85,0.8900523560209425
