policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
always_cloud,0,air_conditioner,0.8,100,90,13,10,0.8737864077669902,0.9,0.8866995073891626
always_cloud,1,car_horn,1.1,33,29,10,4,0.7435897435897436,0.8787878787878788,0.8055555555555556
always_cloud,2,children_playing,0.7,100,74,8,26,0.9024390243902439,0.74,0.8131868131868132
always_cloud,3,dog_bark,1.0,100,93,7,7,0.93,0.93,0.93
always_cloud,4,drilling,0.9,100,92,5,8,0.9484536082474226,0.92,0.9340101522842639
always_cloud,5,engine_idling,0.7,93,82,11,11,0.8817204301075269,0.8817204301075269,0.8817204301075269
always_cloud,6,gun_shot,1.8,32,31,7,1,0.8157894736842105,0.96875,0.8857142857142857
always_cloud,7,jackhammer,1.0,96,84,7,12,0.9230769230769231,0.875,0.8983957219251337
always_cloud,8,siren,1.7,83,73,14,10,0.8390804597701149,0.8795180722891566,0.8588235294117647
always_cloud,9,street_music,0.6,100,95,12,5,0.8878504672897196,0.95,0.9178743961352657
