policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
edge_only,0,air_conditioner,0.8,100,52,13,48,0.8,0.52,0.6303030303030304
edge_only,1,car_horn,1.1,33,23,8,10,0.7419354838709677,0.696969696969697,0.71875
edge_only,2,children_playing,0.7,100,31,44,69,0.41333333333333333,0.31,0.3542857142857142
edge_only,3,dog_bark,1.0,100,61,65,39,0.48412698412698413,0.61,0.5398230088495576
edge_only,4,drilling,0.9,100,70,7,30,0.9090909090909091,0.7,0.7909604519774012
edge_only,5,engine_idling,0.7,93,66,65,27,0.5038167938931297,0.7096774193548387,0.5892857142857143
edge_only,6,gun_shot,1.8,32,30,61,2,0.32967032967032966,0.9375,0.48780487804878053
edge_only,7,jackhammer,1.0,96,38,4,58,0.9047619047619048,0.3958333333333333,0.5507246376811594
edge_only,8,siren,1.7,83,43,61,40,0.41346153846153844,0.5180722891566265,0.45989304812834225
edge_only,9,street_music,0.6,100,68,27,32,0.7157894736842105,0.68,0.6974358974358974
