policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_triage,0,air_conditioner,0.8,100,62,8,38,0.8857142857142857,0.62,0.7294117647058823
fixed_triage,1,car_horn,1.1,33,31,13,2,0.7045454545454546,0.9393939393939394,0.8051948051948052
fixed_triage,2,children_playing,0.7,100,65,10,35,0.8666666666666667,0.65,0.7428571428571429
fixed_triage,3,dog_bark,1.0,100,82,31,18,0.7256637168141593,0.82,0.7699530516431924
fixed_triage,4,drilling,0.9,100,91,10,9,0.900990099009901,0.91,0.9054726368159204
fixed_triage,5,engine_idling,0.7,93,84,60,9,0.5833333333333334,0.9032258064516129,0.7088607594936709
fixed_triage,6,gun_shot,1.8,32,32,14,0,0.6956521739130435,1.0,0.8205128205128205
fixed_triage,7,jackhammer,1.0,96,53,9,43,0.8548387096774194,0.5520833333333334,0.6708860759493671
fixed_triage,8,siren,1.7,83,75,21,8,0.78125,0.9036144578313253,0.8379888268156425
fixed_triage,9,street_music,0.6,100,81,5,19,0.9418604651162791,0.81,0.8709677419354839
