policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
adaptive_triage,0,air_conditioner,0.8,100,91,14,9,0.8666666666666667,0.91,0.8878048780487805
adaptive_triage,1,car_horn,1.1,33,29,8,4,0.7837837837837838,0.8787878787878788,0.8285714285714285
adaptive_triage,2,children_playing,0.7,100,76,5,24,0.9382716049382716,0.76,0.8397790055248618
adaptive_triage,3,dog_bark,1.0,100,85,22,15,0.794392523364486,0.85,0.8212560386473431
adaptive_triage,4,drilling,0.9,100,84,5,16,0.9438202247191011,0.84,0.888888888888889
adaptive_triage,5,engine_idling,0.7,93,76,7,17,0.9156626506024096,0.8172043010752689,0.8636363636363636
adaptive_triage,6,gun_shot,1.8,32,32,21,0,0.6037735849056604,1.0,0.7529411764705882
adaptive_triage,7,jackhammer,1.0,96,91,10,5,0.900990099009901,0.9479166666666666,0.9238578680203046
adaptive_triage,8,siren,1.7,83,68,14,15,0.8292682926829268,0.8192771084337349,0.8242424242424242
adaptive_triage,9,street_music,0.6,100,94,5,6,0.9494949494949495,0.94,0.9447236180904524
