policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
always_cloud,0,air_conditioner,0.8,100,93,11,7,0.8942307692307693,0.93,0.911764705882353
always_cloud,1,car_horn,1.1,33,30,11,3,0.7317073170731707,0.9090909090909091,0.8108108108108109
always_cloud,2,children_playing,0.7,100,90,8,10,0.9183673469387755,0.9,0.9090909090909091
always_cloud,3,dog_bark,1.0,100,86,8,14,0.9148936170212766,0.86,0.8865979381443299
always_cloud,4,drilling,0.9,100,96,7,4,0.9320388349514563,0.96,0.9458128078817734
always_cloud,5,engine_idling,0.7,93,79,6,14,0.9294117647058824,0.8494623655913979,0.8876404494382023
always_cloud,6,gun_shot,1.8,32,31,5,1,0.8611111111111112,0.96875,0.911764705882353
always_cloud,7,jackhammer,1.0,96,92,7,4,0.9292929292929293,0.9583333333333334,0.9435897435897437
always_cloud,8,siren,1.7,83,63,9,20,0.875,0.7590361445783133,0.8129032258064516
always_cloud,9,street_music,0.6,100,94,11,6,0.8952380952380953,0.94,0.9170731707317075
