policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
edge_only,0,air_conditioner,0.8,100,57,10,43,0.8507462686567164,0.57,0.6826347305389222
edge_only,1,car_horn,1.1,33,25,6,8,0.8064516129032258,0.7575757575757576,0.7812499999999999
edge_only,2,children_playing,0.7,100,60,43,40,0.5825242718446602,0.6,0.5911330049261084
edge_only,3,dog_bark,1.0,100,55,75,45,0.4230769230769231,0.55,0.47826086956521735
edge_only,4,drilling,0.9,100,61,9,39,0.8714285714285714,0.61,0.7176470588235295
edge_only,5,engine_idling,0.7,93,56,7,37,0.8888888888888888,0.6021505376344086,0.717948717948718
edge_only,6,gun_shot,1.8,32,31,46,1,0.4025974025974026,0.96875,0.5688073394495413
edge_only,7,jackhammer,1.0,96,85,25,11,0.7727272727272727,0.8854166666666666,0.8252427184466018
edge_only,8,siren,1.7,83,38,31,45,0.5507246376811594,0.4578313253012048,0.5
edge_only,9,street_music,0.6,100,85,32,15,0.7264957264957265,0.85,0.7834101382488479
