policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_threshold,0,air_conditioner,0.8,100,81,7,19,0.9204545454545454,0.81,0.8617021276595745
fixed_threshold,1,car_horn,1.1,33,30,3,3,0.9090909090909091,0.9090909090909091,0.9090909090909091
fixed_threshold,2,children_playing,0.7,100,76,13,24,0.8539325842696629,0.76,0.8042328042328041
fixed_threshold,3,dog_bark,1.0,100,79,39,21,0.6694915254237288,0.79,0.7247706422018348
fixed_threshold,4,drilling,0.9,100,85,6,15,0.9340659340659341,0.85,0.8900523560209425
fixed_threshold,5,engine_idling,0.7,93,84,3,9,0.9655172413793104,0.9032258064516129,0.9333333333333333
fixed_threshold,6,gun_shot,1.8,32,32,18,0,0.64,1.0,0.7804878048780487
fixed_threshold,7,jackhammer,1.0,96,91,5,5,0.9479166666666666,0.9479166666666666,0.9479166666666666
fixed_threshold,8,siren,1.7,83,60,17,23,0.7792207792207793,0.7228915662650602,0.75
fixed_threshold,9,street_music,0.6,100,90,18,10,0.8333333333333334,0.9,0.8653846153846153
