policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_triage,0,air_conditioner,0.8,100,80,5,20,0.9411764705882353,0.8,0.8648648648648648
fixed_triage,1,car_horn,1.1,33,29,2,4,0.9354838709677419,0.8787878787878788,0.90625
fixed_triage,2,children_playing,0.7,100,69,19,31,0.7840909090909091,0.69,0.7340425531914891
fixed_triage,3,dog_bark,1.0,100,73,44,27,0.6239316239316239,0.73,0.6728110599078341
fixed_triage,4,drilling,0.9,100,88,8,12,0.9166666666666666,0.88,0.8979591836734694
fixed_triage,5,engine_idling,0.7,93,82,5,11,0.9425287356321839,0.8817204301075269,0.9111111111111111
fixed_triage,6,gun_shot,1.8,32,32,18,0,0.64,1.0,0.7804878048780487
fixed_triage,7,jackhammer,1.0,96,92,12,4,0.8846153846153846,0.9583333333333334,0.9199999999999999
fixed_triage,8,siren,1.7,83,54,20,29,0.7297297297297297,0.6506024096385542,0.6878980891719745
fixed_triage,9,street_music,0.6,100,89,16,11,0.8476190476190476,0.89,0.8682926829268293
