true_label,edge_pred,final_pred,confidence,top2_margin,route,threshold_used,raw_threshold_used,transmitted_bytes,used_cloud,priority_weight,false_positive_cost,embedding_l2,embedding_dim
car_horn,gun_shot,car_horn,0.53487974,0.42041907,embedding,0.55,0.4,256,True,1.8,2.0,13.609684,128
car_horn,gun_shot,gun_shot,0.5973481,0.43982327,alert_only,0.55,0.4,64,False,1.8,2.0,15.218956,128
car_horn,gun_shot,car_horn,0.41916874,0.2399994,embedding,0.55,0.4,256,True,1.8,2.0,12.975458,128
car_horn,gun_shot,car_horn,0.49404457,0.3065096,embedding,0.55,0.4,256,True,1.8,2.0,14.919409,128
car_horn,gun_shot,children_playing,0.29274327,0.012172431,raw_audio,0.55,0.4,128000,True,1.8,2.0,13.137187,128
dog_bark,dog_bark,dog_bark,0.9512521,0.90876997,alert_only,0.55,0.4,64,False,1.0,0.9,31.417688,128
dog_bark,dog_bark,dog_bark,0.9760937,0.95539325,alert_only,0.55,0.4,64,False,1.0,0.9,32.93752,128
dog_bark,dog_bark,dog_bark,0.9698967,0.94190687,alert_only,0.55,0.4,64,False,1.0,0.9,34.081974,128
dog_bark,dog_bark,dog_bark,0.970076,0.94235414,alert_only,0.55,0.4,64,False,1.0,0.9,34.5473,128
children_playing,children_playing,children_playing,0.6638516,0.44966593,alert_only,0.55,0.4,64,False,0.7,0.6,39.314987,128
children_playing,children_playing,children_playing,0.7695596,0.6180348,alert_only,0.55,0.4,64,False,0.7,0.6,41.01037,128
children_playing,dog_bark,dog_bark,0.7873479,0.58216876,alert_only,0.55,0.4,64,False,1.0,0.9,36.724655,128
children_playing,children_playing,children_playing,0.6698026,0.35458574,alert_only,0.55,0.4,64,False,0.7,0.6,41.325077,128
children_playing,children_playing,children_playing,0.7193366,0.4488231,alert_only,0.55,0.4,64,False,0.7,0.6,46.066833,128
children_playing,children_playing,children_playing,0.82713956,0.73047024,alert_only,0.55,0.4,64,False,0.7,0.6,41.219624,128
children_playing,children_playing,children_playing,0.705219,0.527306,alert_only,0.55,0.4,64,False,0.7,0.6,39.17731,128
children_playing,street_music,dog_bark,0.34999695,0.016318679,raw_audio,0.55,0.4,128000,True,0.6,0.6,26.139128,128
dog_bark,gun_shot,dog_bark,0.45415157,0.2799644,embedding,0.55,0.4,256,True,1.8,2.0,13.039378,128
dog_bark,gun_shot,dog_bark,0.3899715,0.2141438,raw_audio,0.55,0.4,128000,True,1.8,2.0,12.930009,128
